name,type,region,locality,geolocation
The ensemble Alexander Garden,architecture,Kirov region,Kirov,"(Decimal('51.802725'), Decimal('58.284554'))"
Verkhotursk Kremlin ensemble,architecture,Sverdlovsk region,Verkhotur'e,"(Decimal('60.807581'), Decimal('58.860518'))"
The ensemble of the Church of Transfiguration,architecture,Kostroma region,Nicolo-Shanga,"(Decimal('45.5395'), Decimal('58.452015'))"
The ensemble of the government offices in Kaluga,architecture,Kaluga region,Kaluga,"(Decimal('36.167539'), Decimal('54.53284'))"
Ensemble Trading Rows,architecture,Kostroma region,Soligalich,"(Decimal('42.285973'), Decimal('59.077591'))"
Ensemble Railway Hospital,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
The ensemble of the first girls' school,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.592336'), Decimal('56.886105'))"
Ensemble Lenin area (Round Square),architecture,The Republic of Karelia,Petrozavodsk,"(Decimal('34.362293'), Decimal('61.789836'))"
"Ensemble sports complex stadium ""Dynamo""",architecture,Volgograd region,Volgograd,"(Decimal('44.506204'), Decimal('48.711895'))"
"Pharmacy ""the arrow""",architecture,Kaluga region,Kaluga,"(Decimal('36.261215'), Decimal('54.513845'))"
Drugstore berms,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
pharmacy Veyersberga,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
pharmacy Kruger,architecture,Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Pharmacy mining department,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.449899'), Decimal('56.796382'))"
Arakcheyev Cadet Corps,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Arch of the 140th anniversary of the city - a resort Hot Key,architecture,Krasnodar region,Hot key,"(Decimal('39.136426'), Decimal('44.634246'))"
"Arch ""Golden Gate"" ( ""Altn Bosch"")",architecture,Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
Arch in honor of the 50th anniversary of the resort Hot Key,architecture,Krasnodar region,Hot key,"(Decimal('39.136426'), Decimal('44.634246'))"
Arsenal. Izhevsk Kremlin,architecture,Udmurt republic,Izhevsk,"(Decimal('53.180418'), Decimal('56.822306'))"
Arsenal'na (Voljskaya) tower,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.893804'), Decimal('57.626559'))"
Arkhangelsk settlement,architecture,Mari El Republic,Yoshkar-Ola,"(Decimal('47.902995'), Decimal('56.632818'))"
Bishops house,architecture,Perm,Permian,"(Decimal('56.253967'), Decimal('58.006473'))"
Bishops house,architecture,Penza region,Penza,"(Decimal('45.004715'), Decimal('53.173479'))"
The architectural ensemble of the square named after Lenin,architecture,Rostov region,Volgodonsk,"(Decimal('42.156436'), Decimal('47.515772'))"
The architectural ensemble of the village Velikoretskoye,architecture,Kirov region,Velikoretskoye,"(Decimal('49.16272'), Decimal('58.955449'))"
The architectural complex Lezgor,architecture,Republic of North Ossetia - Alania,Lezgor,"(Decimal('43.770268'), Decimal('43.015099'))"
The architectural complex of the Soviet area,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.958727'), Decimal('54.735147'))"
The architectural complex of the Suzdal Kremlin,architecture,Vladimir region,Suzdal,"(Decimal('40.449457'), Decimal('56.419836'))"
The architectural complex of the village Galiat,architecture,Republic of North Ossetia - Alania,Galiat,"(Decimal('43.847811'), Decimal('42.920194'))"
The architectural complex of shops,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
The architectural complex of shops in Kirov,architecture,Kirov region,Kirov,"(Decimal('49.689313'), Decimal('58.521682'))"
Astrakhan State Conservatory,architecture,Astrakhan region,Astrakhan,"(Decimal('47.969722'), Decimal('46.436952'))"
Astrakhan Kremlin,architecture,Astrakhan region,Astrakhan,"(Decimal('47.948719'), Decimal('46.286977'))"
Bazanov orphanage,architecture,Irkutsk region,Irkutsk,"(Decimal('113.795679'), Decimal('57.820324'))"
Baidar gates,architecture,Sevastopol,Orlinoe,"(Decimal('33.77307'), Decimal('44.444772'))"
bacteriological Institute,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Bank of Volga-Kama,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Bank for Foreign Trade,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Manor House Lyakhov,architecture,Republic of Bashkortostan,Spartak,"(Decimal('54.349764'), Decimal('54.18571'))"
Tower complex Bein,architecture,The Republic of Ingushetia,Bain,"(Decimal('44.714281'), Decimal('42.831627'))"
Tower complex Lyazhgi,architecture,The Republic of Ingushetia,Lyazhgi,"(Decimal('44.734484'), Decimal('42.808773'))"
Tower complex Nij,architecture,The Republic of Ingushetia,Pyaling,"(Decimal('44.98798'), Decimal('42.825227'))"
Tower complex Ozdik,architecture,The Republic of Ingushetia,Lamey,"(Decimal('44.900807'), Decimal('42.830173'))"
Tower complex Targ,architecture,The Republic of Ingushetia,Targim,"(Decimal('44.942354'), Decimal('42.835125'))"
towers Tuaeva,architecture,Republic of North Ossetia - Alania,medicine,"(Decimal('43.910711'), Decimal('42.671548'))"
Towers kind Gagieva,architecture,The Republic of Ingushetia,Alkun,"(Decimal('45.012818'), Decimal('42.979241'))"
tower Abisalova,architecture,Republic of North Ossetia - Alania,Dunta,"(Decimal('43.849886'), Decimal('42.900978'))"
tower Bzykovyh,architecture,Republic of North Ossetia - Alania,Donisar,"(Decimal('44.19872'), Decimal('42.862933'))"
tower Bubleyka,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Thunder tower,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
tower Dolgochevskaya,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
tower Kantemirovs,architecture,Republic of North Ossetia - Alania,Quss,"(Decimal('43.633689'), Decimal('42.904042'))"
Kurt and Taga Tower,architecture,Republic of North Ossetia - Alania,upper Fiagdon,"(Decimal('44.306958'), Decimal('42.83418'))"
Tower Moss (Makhovaia),architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Eagle tower,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
tower Pozdnyakov,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Town Hall tower,architecture,Leningrad region,Vyborg,"(Decimal('28.730117'), Decimal('60.714211'))"
Concorde tower,architecture,The Republic of Ingushetia,Magas,"(Decimal('44.81624'), Decimal('43.171501'))"
tower Taymazov,architecture,Republic of North Ossetia - Alania,Quss,"(Decimal('43.633689'), Decimal('42.904042'))"
tower Hatagovyh,architecture,Republic of North Ossetia - Alania,Donifars,"(Decimal('43.7646'), Decimal('42.999975'))"
tower Hestanovyh,architecture,Republic of North Ossetia - Alania,Donisar,"(Decimal('44.19872'), Decimal('42.862933'))"
Shamil tower,architecture,Kursk region,Lgov,"(Decimal('35.259432'), Decimal('51.656942'))"
tower lovers,architecture,Kabardino-Balkar Republic,Nalchik,"(Decimal('43.607072'), Decimal('43.485259'))"
White Tower,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('61.372065'), Decimal('57.389991'))"
White tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.448685'), Decimal('55.830038'))"
The Kremlin Bilozerske,architecture,Vologda Region,Shi's,"(Decimal('37.789016'), Decimal('60.030843'))"
Belozersky Kremlin and the city wall,architecture,Vologda Region,Shi's,"(Decimal('37.789016'), Decimal('60.030843'))"
The White house,architecture,Irkutsk region,Irkutsk,"(Decimal('104.357736'), Decimal('52.249324'))"
AN gazebo Ostrovsky,architecture,Kostroma region,Kostroma,"(Decimal('40.913797'), Decimal('57.771907'))"
arbor Shamil,architecture,The Republic of Dagestan,Guniʙ,"(Decimal('46.964318'), Decimal('42.387091'))"
Academy of Sciences Library,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Biryuchanskie shopping arcade,architecture,Belgorod region,lone wolf,"(Decimal('38.400553'), Decimal('50.648389'))"
Annunciation tower,architecture,Mari El Republic,Yoshkar-Ola,"(Decimal('47.886178'), Decimal('56.631595'))"
Nobility,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Blinovskii passage,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Blockade substation,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Epiphany (winter) Cathedral,architecture,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
Battle Tower Botsiev,architecture,Republic of North Ossetia - Alania,medicine,"(Decimal('43.910711'), Decimal('42.671548'))"
Large living room series,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.584574'), Decimal('51.834464'))"
Large flour series,architecture,Kostroma region,Kostroma,"(Decimal('40.924792'), Decimal('57.767568'))"
Big Gostiny Dvor,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.329514'), Decimal('59.929245'))"
Big house on Foundry,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Botnia house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.278606'), Decimal('59.958525'))"
Brandenburg,architecture,Kaliningrad region,Ushakovo,"(Decimal('20.235639'), Decimal('54.608973'))"
Former Perm Theological Seminary,architecture,Perm,Permian,"(Decimal('56.234914'), Decimal('58.009129'))"
The former gymnasium,architecture,Bryansk region,Starodub,"(Decimal('32.760346'), Decimal('52.585277'))"
Former religious school,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Former bath Kashinskaya,architecture,Perm,Permian,"(Decimal('56.553313'), Decimal('61.23108'))"
The former house of the Noble Assembly,architecture,Smolensk region,Smolensk,"(Decimal('34.207091'), Decimal('55.489667'))"
The former house of the Noble Assembly in Smolensk,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
The former house of the governor of Smolensk,architecture,Smolensk region,Smolensk,"(Decimal('32.082333'), Decimal('54.770842'))"
The former house of the merchant Lanina,architecture,Smolensk region,Smolensk,"(Decimal('34.207091'), Decimal('55.489667'))"
A former trading house of Faberge,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.332424'), Decimal('59.928807'))"
bath Ostrovsky,architecture,Stavropol region,Zheleznovodsk,"(Decimal('43.136875'), Decimal('44.084718'))"
Vvedenskyy castle,architecture,Republic of Crimea,Izobilnoye,"(Decimal('34.352142'), Decimal('44.706694'))"
widows Home,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.982909'), Decimal('56.31231'))"
Verhnebazarny trade body,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Windmill,architecture,Belgorod region,Menyaylovo,"(Decimal('38.752899'), Decimal('50.528627'))"
Windmill,architecture,Belgorod region,Demidovka,"(Decimal('35.392104'), Decimal('50.947035'))"
wine warehouse,architecture,Perm,Solikamsk,"(Decimal('56.572573'), Decimal('59.755304'))"
Vladimir square,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.34748'), Decimal('59.928257'))"
Vlasievskaya tower,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
Water tower,architecture,Komi Republic,Inta,"(Decimal('60.115367'), Decimal('66.03682'))"
Water tower,architecture,Krasnoyarsk region,Khanabadskiy,"(Decimal('94.328297'), Decimal('55.813172'))"
Water tower,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.901278'), Decimal('54.983763'))"
Water tower,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Water tower,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Water tower in Staraya Russa,architecture,Novgorod region,Staraya Russa,"(Decimal('31.355452'), Decimal('57.990715'))"
Water towers,architecture,Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
Water Mill,architecture,Kursk region,Krasnikov,"(Decimal('36.402637'), Decimal('51.235774'))"
Station Orenburg,architecture,Orenburg region,Orenburg,"(Decimal('55.074327'), Decimal('51.776581'))"
Volgograd Conservatory. PA Serebryakov,architecture,Volgograd region,Volgograd,"(Decimal('44.335848'), Decimal('48.683577'))"
Volgograd State Medical University,architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volgograd State Pedagogical University (main building),architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volgograd State Technical University,architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volgogradsky Technical College (hydromeliorative College),architecture,Volgograd region,Volgograd,"(Decimal('44.543296'), Decimal('48.734296'))"
Volzhskaya HPP,architecture,Volgograd region,Volzhsky,"(Decimal('44.780487'), Decimal('48.771558'))"
foundling-hospital,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.278606'), Decimal('59.958525'))"
The second male gymnasium,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
The second fire station in Blagoveshchensk,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
"Exhibition Complex ""Sestroretsky abroad""",architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Vyatskaya women's gymnasium,architecture,Kirov region,Kirov,"(Decimal('49.747317'), Decimal('58.608011'))"
Vyatka State Pedagogical University,architecture,Kirov region,Kirov,"(Decimal('49.745916'), Decimal('58.641864'))"
Vyatskoe zemskoe Realschule,architecture,Kirov region,Kirov,"(Decimal('48.734871'), Decimal('58.057617'))"
Gum,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Galernaya Harbor,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.223961'), Decimal('59.93571'))"
Gauptvahta,architecture,Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
Gerdauen,architecture,Kaliningrad region,Railway,"(Decimal('21.305308'), Decimal('54.360931'))"
Gymnasium named AL Kekin,architecture,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
Gymnasium №2 them. VG Korolenko,architecture,Republic of Crimea,Kerch,"(Decimal('36.467378'), Decimal('45.356219'))"
School №32,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
The main building of the Mariinsky Hospital,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.320818'), Decimal('59.922165'))"
The main gate of the park Mon Repos,architecture,Leningrad region,Vyborg,"(Decimal('28.72576'), Decimal('60.732374'))"
post office,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
post office,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
post office,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Glebov house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.278606'), Decimal('59.958525'))"
The mountain Institute,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.318545'), Decimal('59.916342'))"
Chess City in Elista,architecture,Republic of Kalmykia,Elista,"(Decimal('44.261638'), Decimal('46.307319'))"
The policeman magistrate,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
City fire station,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
City Public Library,architecture,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
City telephone station,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
City Government,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
city ​​power,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
City Nikolaev School,architecture,Tyumen region,Tyumen,"(Decimal('69.420835'), Decimal('56.107122'))"
City Women's College,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.923619'), Decimal('55.012532'))"
Urban apartment building,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
"Hotel ""Bristol""",architecture,Voronezh region,Voronezh,"(Decimal('39.200269'), Decimal('51.660781'))"
"The hotel ""Versailles""",architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
"Hotel ""Volgograd""",architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
"Hotel ""Imperial""",architecture,Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
"Hotel ""Central""",architecture,Kirov region,Kirov,"(Decimal('49.578524'), Decimal('58.637574'))"
Hotel AE Lukyanov,architecture,Amur region,Blagoveshchensk,"(Decimal('128.923622'), Decimal('51.639551'))"
Hotel Central,architecture,Ivanovo region,Ivanovo,"(Decimal('40.902442'), Decimal('57.004211'))"
Hotel Nikitin merchants,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Living series,architecture,The Republic of Buryatia,Kyakhtinsky,"(Decimal('106.449903'), Decimal('50.355214'))"
Gostiny Dvor,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
Gostiny Dvor,architecture,Arhangelsk region,Arkhangelsk,"(Decimal('46.504372'), Decimal('61.61071'))"
Gostiny Dvor,architecture,Tyumen region,Tyumen,"(Decimal('65.554513'), Decimal('57.229939'))"
Gostiny Dvor,architecture,Tyumen region,Tobolsk,"(Decimal('68.253762'), Decimal('58.201698'))"
Gostiny Dvor (red series),architecture,Kostroma region,Kostroma,"(Decimal('46.655361'), Decimal('59.192647'))"
Gostiny Dvor in Kaluga,architecture,Kaluga region,Kaluga,"(Decimal('36.255268'), Decimal('54.568625'))"
Urban complexes on the street Volgodonsk,architecture,Volgograd region,Volgograd,"(Decimal('43.721652'), Decimal('48.635284'))"
Gremyachaya tower,architecture,Pskov region,Pskov,"(Decimal('28.349043'), Decimal('57.823386'))"
Gross Vonsdorf,architecture,Kaliningrad region,spa,"(Decimal('21.126902'), Decimal('54.465387'))"
The Governor's House,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.857944'), Decimal('57.640937'))"
Zemstvo council,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Provincial Treasury Chamber,architecture,Perm,Permian,"(Decimal('55.272576'), Decimal('59.079399'))"
provincial shelter,architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Gubstrahkassa,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
Matrimonial Palace,architecture,Astrakhan region,Astrakhan,"(Decimal('48.033574'), Decimal('46.347869'))"
Matrimonial Palace,architecture,Tambov Region,Tambov,"(Decimal('41.452274'), Decimal('52.721219'))"
Wedding Palace on Furshtatskaya,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.297668'), Decimal('59.929263'))"
The palace of the military governor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Palace of Arts,architecture,Ivanovo region,Ivanovo,"(Decimal('40.986569'), Decimal('56.994474'))"
"Palace of Culture ""Aviator""",architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Palace of Culture LVRZ,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('106.39507'), Decimal('52.172408'))"
Palace of culture of railwaymen,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.626122'), Decimal('56.852485'))"
Palace of Culture named after M. Gorky,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.920196'), Decimal('55.027144'))"
Palace of Culture Communication Workers,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.380161'), Decimal('60.051163'))"
Palace of labor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.872182'), Decimal('56.347504'))"
Palace of labor,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.869872'), Decimal('54.99476'))"
The palace of the Emir of Bukhara,architecture,Stavropol region,Zheleznovodsk,"(Decimal('43.030533'), Decimal('44.132058'))"
Palace Square,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315311'), Decimal('59.938924'))"
"The palace and park ensemble ""Gostilitsy""",architecture,Leningrad region,Gostilitsy,"(Decimal('29.637658'), Decimal('59.725852'))"
"The palace and park ensemble ""Ropsha""",architecture,Leningrad region,ROPS,"(Decimal('29.862381'), Decimal('59.729409'))"
Noble assembly,architecture,Orenburg region,Orenburg,"(Decimal('55.096955'), Decimal('51.768199'))"
Noble assembly,architecture,Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
Noble assembly,architecture,Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
A two-storey brick mansion,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.952868'), Decimal('55.034425'))"
Maiden bath,architecture,The Republic of Dagestan,Derbent,"(Decimal('48.288776'), Decimal('42.057669'))"
Business Building (Building Industrial Bank),architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
Demwtov restaurant,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Wooden manor tradesman G. Mashkov,architecture,Tyumen region,Tyumen,"(Decimal('65.961387'), Decimal('57.136167'))"
Wooden building in the Art Nouveau style,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
Wooden architecture,architecture,Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
Wooden house,architecture,Tyumen region,Tyumen,"(Decimal('65.523036'), Decimal('57.151969'))"
Wooden Condo,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
Demetrius Cathedral,architecture,Vladimir region,Vladimir,"(Decimal('40.560884'), Decimal('55.907147'))"
Dovmont town,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
House,architecture,Kurgan region,Mound,"(Decimal('65.334893'), Decimal('55.430319'))"
"House of ""Aeroflot""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.958761'), Decimal('55.041787'))"
House AA Delvig,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.368285'), Decimal('59.927189'))"
House AA Drozzhilova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.565342'), Decimal('56.845884'))"
"House AG Morozov, 1905 (Museum A. Green)",architecture,Kirov region,Kirov,"(Decimal('49.661079'), Decimal('58.560004'))"
House Rubinstein,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.344363'), Decimal('59.929484'))"
House AD Andreeva,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.056635'), Decimal('56.750048'))"
House AD Usanina,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.056635'), Decimal('56.750048'))"
House Titov,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.660823'), Decimal('51.869022'))"
House AY Levitical,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
AA house Zotov,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.565342'), Decimal('56.845884'))"
A. house Ekimov (Vasnetsov House),architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
I'm at home. Düringer,architecture,Ivanovo region,Ivanovo,"(Decimal('40.940306'), Decimal('57.021672'))"
house Balandin,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
house Balahovit,architecture,Republic of North Ossetia - Alania,Galiat,"(Decimal('43.847811'), Decimal('42.920194'))"
house Baur,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
Home Bender,architecture,Saratov region,Saratov,"(Decimal('46.076037'), Decimal('51.58032'))"
Bilibin house in Kaluga,architecture,Kaluga region,Kaluga,"(Decimal('36.267863'), Decimal('54.530567'))"
house Bolkonski,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.857944'), Decimal('57.640937'))"
house Botkin,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.295683'), Decimal('59.920154'))"
house Butyrina,architecture,Vologda Region,Vologda,"(Decimal('39.88103'), Decimal('59.227647'))"
House Belousov,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.675322'), Decimal('56.833161'))"
House VMBekhterev,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.553796'), Decimal('60.175857'))"
VV house Nikitin,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.972038'), Decimal('55.021664'))"
VM house spondylitis,architecture,Kirov region,Kirov,"(Decimal('49.689313'), Decimal('58.521682'))"
VS house Popova,architecture,Tyumen region,Tyumen,"(Decimal('65.397784'), Decimal('57.272057'))"
House VY Zhmakin,architecture,Kirov region,Kirov,"(Decimal('49.594567'), Decimal('58.508738'))"
